characters名,aliases,count,proposed_status,reason
Fulao（傅老）,傅明,2,likely_valid_alias,字幕明确把当前姓名识别为“傅明”，且多处正式称呼均指向傅老。；evidence_count=11；定位证据：file=E06.txt; line_id=466; start=00:20:10.28; end=00:20:12.76; text=傅明同志 咱们外头走走 || file=E06.txt; line_id=471; start=00:20:21.45; end=00:20:22.32; text=走吧 傅明同志 || file=E17.txt; line_id=171; start=00:06:28.97; end=00:06:31.38; text=这位是我公公 傅明同志 || file=E19.txt; line_id=226; start=00:10:56.59; end=00:10:58.79; text=大陆唯一传人傅明同志 || file=E22.txt; line_id=6; start=00:00:15.76; end=00:00:17.84; text=他现在叫傅明 || file=E22.txt; line_id=186; start=00:09:37.65; end=00:09:40.78; text=从贾敬贤变成傅明 || file=E27.txt; line_id=281; start=00:12:37.10; end=00:12:39.00; text=总比那傅明同志那个 || file=E28.txt; line_id=406; start=00:19:26.16; end=00:19:28.15; text=一致通过傅明同志 || file=E28.txt; line_id=433; start=00:21:08.93; end=00:21:10.48; text=傅明同志 || file=E29.txt; line_id=124; start=00:05:03.53; end=00:05:07.44; text=202单元负责人傅明同志 || file=E29.txt; line_id=211; start=00:08:48.49; end=00:08:50.36; text=傅明同志今天在家中
Fulao（傅老）,傅明同志,9,likely_valid_alias,“姓名+同志”的正式称谓，多处明确指向傅老。；evidence_count=9；定位证据：file=E06.txt; line_id=466; start=00:20:10.28; end=00:20:12.76; text=傅明同志 咱们外头走走 || file=E06.txt; line_id=471; start=00:20:21.45; end=00:20:22.32; text=走吧 傅明同志 || file=E17.txt; line_id=171; start=00:06:28.97; end=00:06:31.38; text=这位是我公公 傅明同志 || file=E19.txt; line_id=226; start=00:10:56.59; end=00:10:58.79; text=大陆唯一传人傅明同志 || file=E27.txt; line_id=281; start=00:12:37.10; end=00:12:39.00; text=总比那傅明同志那个 || file=E28.txt; line_id=406; start=00:19:26.16; end=00:19:28.15; text=一致通过傅明同志 || file=E28.txt; line_id=433; start=00:21:08.93; end=00:21:10.48; text=傅明同志 || file=E29.txt; line_id=124; start=00:05:03.53; end=00:05:07.44; text=202单元负责人傅明同志 || file=E29.txt; line_id=211; start=00:08:48.49; end=00:08:50.36; text=傅明同志今天在家中
Fulao（傅老）,老傅,45,likely_valid_alias,高频稳定称呼；E05 还明确出现“不要叫局长 叫老傅嘛”。；evidence_count=47；定位证据：file=E01.txt; line_id=127; start=00:05:15.24; end=00:05:19.41; text=这个老傅咱傅局长 也不是外人嘛 || file=E05.txt; line_id=110; start=00:05:03.32; end=00:05:05.43; text=不要叫局长 叫老傅嘛 || file=E09.txt; line_id=79; start=00:02:54.59; end=00:02:55.68; text=老傅啊 || file=E09.txt; line_id=148; start=00:05:34.98; end=00:05:38.72; text=老傅啊 老傅 || file=E09.txt; line_id=149; start=00:05:38.86; end=00:05:39.70; text=老傅啊 || file=E09.txt; line_id=187; start=00:07:18.09; end=00:07:20.85; text=老傅 老傅啊 您在呐 || file=E09.txt; line_id=189; start=00:07:21.95; end=00:07:24.35; text=老傅 我告诉你一个好消息吧 || file=E09.txt; line_id=205; start=00:07:57.15; end=00:07:58.28; text=老傅啊 || file=E09.txt; line_id=213; start=00:08:16.49; end=00:08:19.07; text=老傅呀 你就别讳病忌医了 || file=E10.txt; line_id=395; start=00:17:06.19; end=00:17:09.20; text=老傅 你别来这一套了 || file=E10.txt; line_id=403; start=00:17:35.54; end=00:17:37.00; text=老傅啊 || file=E10.txt; line_id=412; start=00:17:59.93; end=00:18:01.21; text=老傅啊 || file=E10.txt; line_id=419; start=00:18:13.47; end=00:18:17.14; text=这人赃俱获呀 老傅啊 || file=E10.txt; line_id=444; start=00:19:18.68; end=00:19:20.72; text=老傅啊 || file=E16.txt; line_id=19; start=00:00:38.83; end=00:00:41.64; text=你们家老傅呀 在路口上 || file=E22.txt; line_id=103; start=00:04:52.83; end=00:04:53.77; text=老傅啊 || file=E24.txt; line_id=92; start=00:03:57.66; end=00:03:59.31; text=老傅在家吗 || file=E24.txt; line_id=93; start=00:03:59.43; end=00:04:00.92; text=老傅 你在这儿坐着呢 || file=E24.txt; line_id=95; start=00:04:04.58; end=00:04:05.55; text=老傅啊 || file=E24.txt; line_id=129; start=00:05:53.43; end=00:05:55.02; text=我说老傅 || file=E24.txt; line_id=170; start=00:07:42.88; end=00:07:46.71; text=老傅 你可别净说风凉话儿 || file=E24.txt; line_id=185; start=00:08:18.29; end=00:08:19.70; text=不不不 老傅 || file=E24.txt; line_id=201; start=00:08:56.91; end=00:08:59.34; text=哎呀老傅 你别跩了 || file=E24.txt; line_id=214; start=00:09:24.60; end=00:09:28.95; text=让这个老傅同志给你们讲话 || file=E26.txt; line_id=400; start=00:15:20.51; end=00:15:23.47; text=比如说吧 老傅全家 || file=E27.txt; line_id=9; start=00:00:27.36; end=00:00:28.20; text=老傅 你看这事儿 || file=E27.txt; line_id=33; start=00:01:21.23; end=00:01:23.13; text=那还没有一个能超过老傅的呢 || file=E27.txt; line_id=98; start=00:04:27.09; end=00:04:28.71; text=老傅啊 || file=E27.txt; line_id=169; start=00:07:26.91; end=00:07:29.60; text=老傅老郑的条件呀 都不错 || file=E28.txt; line_id=55; start=00:02:08.65; end=00:02:09.57; text=老傅啊 || file=E28.txt; line_id=69; start=00:02:40.82; end=00:02:43.42; text=老郑和老傅啊 是带了个好头儿 || file=E28.txt; line_id=79; start=00:03:06.43; end=00:03:09.53; text=老傅啊 你可不能打退堂鼓啊 || file=E28.txt; line_id=101; start=00:04:04.04; end=00:04:05.65; text=老傅啊 || file=E28.txt; line_id=185; start=00:09:07.16; end=00:09:08.39; text=老傅啊 || file=E28.txt; line_id=187; start=00:09:09.14; end=00:09:09.78; text=老傅 || file=E28.txt; line_id=190; start=00:09:14.11; end=00:09:15.72; text=老傅啊 || file=E28.txt; line_id=193; start=00:09:25.88; end=00:09:28.91; text=您是老傅的什么人呐 || file=E28.txt; line_id=207; start=00:10:07.30; end=00:10:09.18; text=巧了 老傅啊 || file=E28.txt; line_id=247; start=00:12:21.26; end=00:12:22.53; text=老傅啊 || file=E28.txt; line_id=350; start=00:17:00.05; end=00:17:02.91; text=不要管我 请老傅同志先走 || file=E28.txt; line_id=409; start=00:19:34.73; end=00:19:37.28; text=下面呢 我们请老傅同志谈一谈 || file=E28.txt; line_id=449; start=00:22:02.36; end=00:22:06.05; text=老傅同志 你就不要现场表演了 || file=E28.txt; line_id=450; start=00:22:06.58; end=00:22:07.82; text=老傅你怎么了 || file=E28.txt; line_id=470; start=00:23:14.14; end=00:23:15.78; text=老傅啊 || file=E28.txt; line_id=479; start=00:23:35.25; end=00:23:37.11; text=放心吧 老傅 || file=E39.txt; line_id=453; start=00:18:20.70; end=00:18:22.42; text=老傅 || file=E39.txt; line_id=454; start=00:18:24.37; end=00:18:27.56; text=老傅你怎么回事呀你
Fulao（傅老）,老傅同志,4,likely_valid_alias,“老傅+同志”的稳定称谓，明确指向傅老。；evidence_count=4；定位证据：file=E24.txt; line_id=214; start=00:09:24.60; end=00:09:28.95; text=让这个老傅同志给你们讲话 || file=E28.txt; line_id=350; start=00:17:00.05; end=00:17:02.91; text=不要管我 请老傅同志先走 || file=E28.txt; line_id=409; start=00:19:34.73; end=00:19:37.28; text=下面呢 我们请老傅同志谈一谈 || file=E28.txt; line_id=449; start=00:22:02.36; end=00:22:06.05; text=老傅同志 你就不要现场表演了
Fulao（傅老）,傅局长,8,likely_valid_alias,职称+姓氏，多处直接称呼傅老。；evidence_count=8；定位证据：file=E01.txt; line_id=127; start=00:05:15.24; end=00:05:19.41; text=这个老傅咱傅局长 也不是外人嘛 || file=E06.txt; line_id=1; start=00:00:15.58; end=00:00:17.62; text=傅局长 || file=E06.txt; line_id=4; start=00:00:22.03; end=00:00:23.49; text=见过傅局长 || file=E06.txt; line_id=5; start=00:00:23.63; end=00:00:25.43; text=我见过傅局长 || file=E06.txt; line_id=6; start=00:00:25.57; end=00:00:26.85; text=傅局长 您好 || file=E06.txt; line_id=19; start=00:00:54.61; end=00:00:55.31; text=傅局长 || file=E06.txt; line_id=50; start=00:02:04.83; end=00:02:08.28; text=傅局长 您现在算高干的吧 || file=E06.txt; line_id=282; start=00:12:02.85; end=00:12:05.73; text=说 傅局长一日不成家
Fulao（傅老）,老局长,10,likely_valid_alias,E05/E06 的旧职称称呼，连续上下文均指向傅老。；evidence_count=10；定位证据：file=E05.txt; line_id=107; start=00:04:55.72; end=00:04:57.86; text=哎呀老局长 || file=E05.txt; line_id=112; start=00:05:07.71; end=00:05:10.34; text=哎呀 托您的福啊 老局长 || file=E05.txt; line_id=125; start=00:05:51.13; end=00:05:53.22; text=老局长 || file=E05.txt; line_id=167; start=00:07:24.02; end=00:07:25.57; text=唉老局长 || file=E05.txt; line_id=202; start=00:10:00.79; end=00:10:03.33; text=哎呀老局长 || file=E05.txt; line_id=212; start=00:10:29.28; end=00:10:30.86; text=哎老局长 || file=E05.txt; line_id=221; start=00:10:52.77; end=00:10:55.06; text=哎老局长 || file=E05.txt; line_id=228; start=00:11:14.36; end=00:11:16.87; text=哎老局长 || file=E05.txt; line_id=234; start=00:11:29.78; end=00:11:31.02; text=这么着吧 老局长 || file=E06.txt; line_id=159; start=00:06:42.78; end=00:06:44.77; text=哎哟 我的老局长
Fulao（傅老）,傅老,2,likely_valid_alias,姓氏+敬称，明确直接称呼傅老。；evidence_count=2；定位证据：file=E19.txt; line_id=256; start=00:12:52.06; end=00:12:55.53; text=好 大家注意傅老的速度和幅度 || file=E34.txt; line_id=320; start=00:14:24.83; end=00:14:27.16; text=傅老 我问你
Fulao（傅老）,傅伯伯,4,likely_valid_alias,姓氏+亲属式敬称，多处稳定指向傅老。；evidence_count=4；定位证据：file=E13.txt; line_id=415; start=00:18:02.68; end=00:18:04.75; text=傅伯伯 您中那几等奖啊 || file=E19.txt; line_id=367; start=00:19:04.83; end=00:19:08.56; text=傅伯伯 我跟您说实话吧 || file=E19.txt; line_id=438; start=00:22:00.59; end=00:22:02.90; text=那我告辞了 傅伯伯 || file=E27.txt; line_id=175; start=00:07:45.15; end=00:07:47.63; text=傅伯伯 我也欺负您一回吧
Fulao（傅老）,小傅,2,likely_valid_alias,E06 中年长来客对傅老的旧式称呼，邻近上下文明确。；evidence_count=2；定位证据：file=E06.txt; line_id=222; start=00:09:21.29; end=00:09:23.53; text=小傅呢 || file=E06.txt; line_id=223; start=00:09:24.66; end=00:09:26.55; text=小傅
Fulao（傅老）,傅总,1,likely_valid_alias,E07 中对傅老的戏谑性“职称+姓氏”称呼，指向明确。；evidence_count=1；定位证据：file=E07.txt; line_id=70; start=00:03:52.43; end=00:03:56.07; text=给您的卧室装空调吧 傅总
